13.00,-335.08,662.15,10.09,797.51,543.12
41.00,316.98,-483.60,573.00,2077.66,28.00
1.00,486.00,-259.29,-423.21,552.63,385.74
2.00,-108.00,9.43,-65.14,3405.38,20.00
1.00,266.20,-309.57,46.15,556.08,246.79
4.00,43.98,-1.69,-274.76,3405.80,13.00
2.00,-21.33,150.86,70.48,359.06,216.51
4.00,106.67,-251.43,76.76,3240.17,11.00
1.00,170.14,-256.99,323.16,556.27,274.71
3.00,61.34,-34.42,-161.40,3404.92,14.00
3.00,-74.67,189.71,-349.05,793.31,256.31
4.00,96.00,-70.86,-123.14,3270.54,13.00
2.00,-145.83,162.95,55.74,359.46,279.96
5.00,-246.53,289.88,-307.76,3240.88,14.00
4.00,37.33,-109.71,221.38,559.39,237.46
6.00,-160.00,88.00,-96.00,3172.40,12.00
5.00,-62.50,38.84,299.37,430.82,277.21
6.00,33.56,-48.12,43.16,2975.16,14.00
5.00,18.00,261.86,-383.21,429.94,350.34
7.00,-114.00,12.43,-181.62,2976.86,18.00
5.00,678.00,-927.43,351.81,435.82,283.26
8.00,72.00,-196.71,-99.93,2979.29,15.00
7.00,48.00,30.86,130.14,327.36,216.88
8.00,37.33,-26.29,47.95,2693.61,11.00
8.00,-189.81,319.99,50.86,538.52,248.88
10.00,115.74,-135.22,-147.82,2753.44,13.00
7.00,-285.83,490.29,34.71,327.08,396.38
11.00,-237.33,162.33,-229.53,2691.35,20.00
11.00,114.00,406.71,-561.31,567.39,402.30
12.00,258.00,-490.71,8.76,2387.57,21.00
11.00,-723.39,1815.38,-1121.26,578.36,632.78
14.00,898.60,-1274.24,-44.57,2391.52,32.00
12.00,42.67,-130.29,107.62,525.31,200.49
14.00,37.33,-93.71,-138.62,2163.19,11.00
14.00,-162.00,360.43,50.79,544.56,265.44
15.00,-78.00,170.57,-157.98,1970.43,14.00
15.00,174.00,-202.29,141.24,796.82,265.24
18.00,432.00,-577.29,-70.93,1902.79,14.00
18.00,90.00,-74.25,88.25,907.50,191.40
48.00,103.50,-76.50,134.00,1686.00,10.00
48.00,15.05,30.11,196.71,1011.92,248.98
50.00,42.82,-22.72,-72.05,1847.51,13.00
49.00,-104.17,-112.95,207.83,1264.25,301.70
50.00,216.44,-362.60,-108.16,2048.27,16.00
49.00,-45.14,90.92,296.48,1260.30,348.95
52.00,-115.74,106.65,-45.03,2049.13,18.00
52.00,-558.00,480.00,302.86,1602.85,370.53
53.00,516.00,-930.43,290.31,1995.05,19.00
97.00,102.00,-53.57,261.74,2474.30,351.98
98.00,162.00,-150.43,153.86,1944.86,18.00
98.00,-12.00,165.86,109.48,2784.58,299.27
135.00,36.00,47.57,-195.36,2114.29,15.00
98.00,-143.95,80.65,428.65,2778.60,375.42
134.00,312.89,-508.54,238.31,2109.39,19.00
95.00,-217.59,315.23,-314.94,2911.33,235.75
96.00,53.24,-12.00,-121.40,2432.29,12.00
94.00,149.31,-189.14,167.57,2785.27,198.53
95.00,-9.26,38.89,-178.36,2580.37,10.00
92.00,82.18,-57.19,226.25,2813.53,260.98
124.00,109.95,-116.27,74.45,2763.75,14.00
91.00,122.69,-221.97,258.89,2903.31,178.62
124.00,57.87,-75.20,-59.89,2908.83,9.00
81.00,299.77,-442.51,479.84,2852.73,344.87
119.00,62.50,6.25,-115.89,3398.07,18.00
81.00,-37.33,-13.71,138.05,2852.79,142.77
82.00,53.33,-81.14,-80.19,3398.46,8.00
6.00,10.42,-212.05,238.42,708.25,217.11
9.00,156.25,-275.89,-57.14,3004.86,11.00
9.00,384.00,-562.71,150.76,747.11,258.28
10.00,-66.00,109.29,-285.67,2825.90,13.00
10.00,-12.00,148.71,-286.10,717.70,263.02
11.00,-6.00,-105.86,-81.33,2582.07,14.00
10.00,48.00,-396.00,419.02,719.06,547.64
13.00,294.00,-647.14,-144.17,2586.02,28.00
11.00,-210.00,-32.14,464.26,567.15,452.09
13.00,-324.00,204.43,-183.64,2392.36,23.00
12.00,30.00,-52.29,287.10,524.01,275.76
13.00,54.00,-60.86,-69.21,2160.26,14.00
13.00,-335.08,662.15,10.09,797.51,543.12
41.00,316.98,-483.60,573.00,2077.66,28.00
15.00,-234.00,325.71,125.00,792.99,235.65
48.00,246.00,-457.71,156.60,1901.81,12.00
47.00,-72.00,52.29,-7.21,1036.15,175.22
48.00,108.00,-111.86,-163.07,2015.14,9.00
47.00,-221.06,142.31,295.14,1039.23,343.62
50.00,86.81,-287.80,-19.84,2014.24,18.00
49.00,121.53,-199.26,256.42,1261.23,206.39
51.00,55.56,-13.69,54.80,2048.95,11.00
51.00,-193.29,189.93,166.65,1440.85,238.67
52.00,20.83,-125.00,-46.55,2144.86,12.00
46.00,-52.58,416.39,-330.86,1232.53,346.96
49.00,455.97,-620.24,-100.75,2315.35,18.00
46.00,-285.83,-44.63,533.79,1233.58,394.07
51.00,278.04,-581.85,130.42,2315.03,20.00
41.00,-252.00,591.00,-240.71,1137.15,252.74
46.00,0.00,162.43,-333.64,2489.02,13.00
41.00,150.00,-113.14,214.05,1133.65,291.01
42.00,-66.00,82.29,124.69,2489.05,15.00
31.00,133.60,150.97,-297.81,1126.19,355.08
32.00,87.92,-109.78,-269.83,3439.18,18.00
31.00,-18.00,-30.86,239.00,1132.75,273.37
33.00,-228.00,285.86,-246.02,3443.00,14.00
32.00,11.57,-79.41,269.82,1118.90,234.62
33.00,-184.03,331.85,-42.94,3151.67,12.00
32.00,116.93,-213.90,428.04,1123.46,364.27
34.00,-187.09,183.22,-135.25,3151.89,19.00
32.00,1152.49,-2039.92,927.96,1107.33,432.69
39.00,-69.74,152.97,-414.53,3154.90,22.00
39.00,-384.86,527.35,-161.48,1148.43,343.28
41.00,236.18,-340.96,-223.98,2818.99,18.00
33.00,-93.75,138.84,235.27,1320.75,287.24
36.00,-6.94,-56.55,13.73,3255.95,15.00
35.00,-106.45,512.78,-485.59,1681.90,300.28
36.00,374.95,-656.14,94.46,3395.03,16.00
36.00,-55.56,-2.83,164.57,1602.58,244.13
38.00,231.48,-392.76,-49.04,3206.09,13.00
34.00,54.00,-97.71,300.86,1450.96,261.14
38.00,138.00,-152.57,-2.40,3014.48,14.00
34.00,-172.45,284.57,-65.25,1453.85,232.18
40.00,-4.63,66.77,-285.79,3012.47,12.00
40.00,114.00,-116.57,-109.38,1497.96,193.92
42.00,54.00,-6.00,-205.50,2790.45,10.00
42.00,-136.57,272.27,-15.54,1387.24,196.13
44.00,70.60,-17.06,-192.86,2631.34,10.00
42.00,-26.62,39.04,229.45,1387.78,243.13
